[2018-01-07 13:26:36] WeeChat 1.6 (compiled on Apr 29 2017 14:31:58)
[2018-01-07 13:26:36] Reading configuration file sec.conf
[2018-01-07 13:26:36] Reading configuration file weechat.conf
[2018-01-07 13:26:36] Reading configuration file plugins.conf
[2018-01-07 13:26:36] Reading configuration file charset.conf
[2018-01-07 13:26:36] Reading configuration file logger.conf
[2018-01-07 13:26:36] Reading configuration file exec.conf
[2018-01-07 13:26:36] Reading configuration file trigger.conf
[2018-01-07 13:26:36] Reading configuration file aspell.conf
[2018-01-07 13:26:36] Reading configuration file alias.conf
[2018-01-07 13:26:36] Reading configuration file xfer.conf
[2018-01-07 13:26:36] Reading configuration file irc.conf
[2018-01-07 13:26:36] Reading configuration file relay.conf
[2018-01-07 13:26:36] Reading configuration file script.conf
[2018-01-07 13:26:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-07 14:42:17] irc: connecting to server chat.freenode.net/6667...
[2018-01-07 14:42:37] irc: connecting to server chat.freenode.net/6667...
[2018-01-07 14:43:43] irc: connecting to server chat.freenode.net/6667...
[2018-01-07 14:45:34] irc: connecting to server chat.freenode.net/6667...
[2018-01-07 14:49:44] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 02:44:01] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 02:44:32] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 02:44:52] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 08:16:14] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 10:05:58] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 13:40:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 13:40:50] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 14:39:59] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 17:26:43] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 18:48:52] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 20:50:10] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 20:50:55] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 20:52:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 20:54:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 20:57:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 21:03:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 21:14:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 21:24:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 21:35:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 21:46:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 21:56:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 22:07:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 22:18:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 22:28:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 22:39:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 22:50:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 23:00:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 23:11:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 23:22:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 23:32:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 23:43:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-08 23:54:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 00:04:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 00:15:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 00:26:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 00:36:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 00:47:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 00:58:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 01:08:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 01:19:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 01:30:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 01:40:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 01:51:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 02:02:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 02:12:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 02:23:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 02:34:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 02:44:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 02:55:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 03:06:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 03:16:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 03:27:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 03:38:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 03:48:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 03:59:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 04:10:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 04:20:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 04:31:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 04:42:00] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 04:52:40] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 05:03:20] irc: connecting to server chat.freenode.net/6667...
[2018-01-09 05:14:00] irc: connecting to server chat.freenode.net/6667...
